date,temp_max,temp_min
2015-01-01,21.3,12.0
2015-01-02,17.2,14.2
2015-01-03,17.9,14.0
2015-01-04,19.1,10.9
2015-01-05,20.7,9.6
2015-01-06,20.6,10.5
2015-01-07,18.1,10.0
2015-01-08,19.6,6.9
2015-01-09,18.7,6.3
2015-01-10,18.1,7.4
2015-01-11,18.1,6.9
2015-01-12,17.7,6.0
2015-01-13,17.6,6.6
2015-01-14,16.8,10.1
2015-01-15,18.3,7.7
2015-01-16,19.5,7.7
2015-01-17,20.3,8.1
2015-01-18,20.4,7.7
2015-01-19,19.7,6.2
2015-01-20,19.2,6.3
2015-01-21,16.3,9.9
2015-01-22,15.6,11.2
2015-01-23,17.9,11.1
2015-01-24,17.4,10.9
2015-01-25,17.5,9.2
2015-01-26,18.1,8.1
2015-01-27,17.7,8.9
2015-01-28,17.2,6.9
2015-01-29,17.8,4.8
2015-01-30,18.7,5.4
2015-01-31,19.9,7.7
2015-02-01,20.7,7.0
2015-02-02,21.7,11.0
2015-02-03,21.9,13.3
2015-02-04,19.9,10.0
2015-02-05,20.5,9.2
2015-02-06,20.7,7.1
2015-02-07,22.1,7.8
2015-02-08,22.3,9.8
2015-02-09,23.1,10.0
2015-02-10,22.1,9.5
2015-02-11,22.0,7.9
2015-02-12,22.1,8.6
2015-02-13,24.3,9.7
2015-02-14,26.5,11.4
2015-02-15,25.4,11.2
2015-02-16,26.2,13.9
2015-02-17,26.5,15.8
2015-02-18,26.1,15.6
2015-02-19,26.7,14.4
2015-02-20,27.0,17.0
2015-02-21,26.5,15.0
2015-02-22,27.1,15.4
2015-02-23,26.4,13.5
2015-02-24,27.2,14.3
2015-02-25,27.2,16.8
2015-02-26,24.5,13.7
2015-02-27,23.6,12.1
2015-02-28,25.4,11.4
2015-03-01,19.3,16.1
2015-03-02,19.5,14.4
2015-03-03,19.6,12.6
2015-03-04,21.6,9.7
2015-03-05,23.7,9.0
2015-03-06,24.9,12.6
2015-03-07,25.5,11.7
2015-03-08,24.0,14.2
2015-03-09,22.4,11.8
2015-03-10,23.1,9.6
2015-03-11,24.7,10.6
2015-03-12,26.5,10.1
2015-03-13,25.9,13.9
2015-03-14,26.1,14.3
2015-03-15,22.5,16.0
2015-03-16,22.7,15.2
2015-03-17,25.1,14.2
2015-03-18,24.7,13.6
2015-03-19,26.3,12.2
2015-03-20,27.8,12.4
2015-03-21,29.2,14.8
2015-03-22,30.2,16.8
2015-03-23,31.1,17.6
2015-03-24,32.2,15.6
2015-03-25,32.5,17.2
2015-03-26,33.6,20.2
2015-03-27,33.8,21.8
2015-03-28,34.1,16.4
2015-03-29,32.2,20.7
2015-03-30,27.1,19.5
2015-03-31,28.0,17.4
2015-04-01,30.8,17.9
2015-04-02,33.3,19.2
2015-04-03,30.1,19.1
2015-04-04,25.1,18.6
2015-04-05,28.5,15.5
2015-04-06,30.0,16.2
2015-04-07,27.7,16.9
2015-04-08,30.0,16.6
2015-04-09,31.0,17.0
2015-04-10,33.0,17.7
2015-04-11,34.1,18.2
2015-04-12,29.2,20.2
2015-04-13,29.2,18.9
2015-04-14,29.7,19.1
2015-04-15,31.6,19.3
2015-04-16,31.4,20.5
2015-04-17,34.9,19.7
2015-04-18,37.1,21.0
2015-04-19,39.4,21.2
2015-04-20,38.7,24.6
2015-04-21,38.6,22.4
2015-04-22,38.2,22.1
2015-04-23,38.7,21.6
2015-04-24,39.3,22.4
2015-04-25,37.0,23.5
2015-04-26,34.4,23.2
2015-04-27,36.5,23.8
2015-04-28,37.2,24.1
2015-04-29,36.6,23.2
2015-04-30,38.1,22.8
2015-05-01,36.5,24.1
2015-05-02,37.3,22.0
2015-05-03,38.0,21.0
2015-05-04,38.9,20.9
2015-05-05,40.0,20.9
2015-05-06,42.5,22.4
2015-05-07,42.7,24.1
2015-05-08,42.1,26.7
2015-05-09,40.8,26.8
2015-05-10,41.7,25.1
2015-05-11,39.6,25.4
2015-05-12,36.3,25.8
2015-05-13,35.7,26.1
2015-05-14,35.8,24.3
2015-05-15,36.6,24.4
2015-05-16,35.9,23.3
2015-05-17,37.9,24.7
2015-05-18,41.2,27.6
2015-05-19,41.5,26.8
2015-05-20,40.3,26.3
2015-05-21,41.7,24.6
2015-05-22,42.6,26.2
2015-05-23,43.2,25.5
2015-05-24,42.8,27.1
2015-05-25,44.1,26.2
2015-05-26,44.0,27.7
2015-05-27,41.8,26.1
2015-05-28,41.2,25.1
2015-05-29,41.7,27.0
2015-05-30,41.5,27.7
2015-05-31,41.5,26.9
2015-06-01,39.8,25.9
2015-06-02,37.8,27.2
2015-06-03,37.9,25.4
2015-06-04,37.5,24.4
2015-06-05,37.9,27.2
2015-06-06,39.0,26.6
2015-06-07,40.4,26.2
2015-06-08,42.5,27.0
2015-06-09,42.6,29.5
2015-06-10,41.4,30.8
2015-06-11,40.2,30.8
2015-06-12,40.6,29.9
2015-06-13,40.1,30.2
2015-06-14,32.9,25.6
2015-06-15,33.9,23.8
2015-06-16,36.5,27.1
2015-06-17,37.6,27.8
2015-06-18,39.1,28.6
2015-06-19,39.2,29.4
2015-06-20,37.2,28.8
2015-06-21,36.4,28.9
2015-06-22,36.9,26.7
2015-06-23,38.2,28.6
2015-06-24,36.4,26.6
2015-06-25,27.2,25.2
2015-06-26,34.7,24.6
2015-06-27,35.9,27.6
2015-06-28,37.2,28.1
2015-06-29,33.8,27.0
2015-06-30,32.9,25.8
2015-07-01,34.8,25.6
2015-07-02,36.0,26.7
2015-07-03,37.2,28.1
2015-07-04,35.8,27.1
2015-07-05,37.3,27.5
2015-07-06,32.6,25.9
2015-07-07,31.5,24.9
2015-07-08,31.9,25.4
2015-07-09,31.8,25.7
2015-07-10,28.2,25.6
2015-07-11,28.0,23.9
2015-07-12,26.9,24.1
2015-07-13,32.0,24.0
2015-07-14,32.9,26.2
2015-07-15,34.8,27.4
2015-07-16,34.3,26.5
2015-07-17,31.3,26.2
2015-07-18,32.7,26.4
2015-07-19,32.3,26.3
2015-07-20,30.8,25.5
